model_f,language_f,refusal_justification_f,n,total,prop
GPT-5.1,English,Neutrality/Balance,61,104,0.5865384615384616
GPT-5.1,English,Harm Avoidance,34,104,0.3269230769230769
GPT-5.1,English,Expertise Limitation,1,104,0.009615384615384616
GPT-5.1,English,No Justification,1,104,0.009615384615384616
GPT-5.1,English,Other,7,104,0.0673076923076923
GPT-5.1,Chinese,Neutrality/Balance,31,61,0.5081967213114754
GPT-5.1,Chinese,Harm Avoidance,23,61,0.3770491803278688
GPT-5.1,Chinese,Other,7,61,0.11475409836065574
GPT-5.1,Arabic,Neutrality/Balance,49,120,0.4083333333333333
GPT-5.1,Arabic,Complexity/Uncertainty,1,120,0.008333333333333333
GPT-5.1,Arabic,Harm Avoidance,58,120,0.48333333333333334
GPT-5.1,Arabic,No Justification,1,120,0.008333333333333333
GPT-5.1,Arabic,Other,11,120,0.09166666666666666
GPT-5.1,Russian,Neutrality/Balance,19,51,0.37254901960784315
GPT-5.1,Russian,Harm Avoidance,19,51,0.37254901960784315
GPT-5.1,Russian,No Justification,1,51,0.0196078431372549
GPT-5.1,Russian,Other,12,51,0.23529411764705882
GPT-5.1,Hindi,Neutrality/Balance,7,24,0.2916666666666667
GPT-5.1,Hindi,Harm Avoidance,13,24,0.5416666666666666
GPT-5.1,Hindi,Other,4,24,0.16666666666666666
Claude Opus 4.5,English,Neutrality/Balance,28,98,0.2857142857142857
Claude Opus 4.5,English,Complexity/Uncertainty,1,98,0.01020408163265306
Claude Opus 4.5,English,Harm Avoidance,23,98,0.23469387755102042
Claude Opus 4.5,English,Expertise Limitation,15,98,0.15306122448979592
Claude Opus 4.5,English,User Autonomy,2,98,0.02040816326530612
Claude Opus 4.5,English,No Justification,5,98,0.05102040816326531
Claude Opus 4.5,English,Other,24,98,0.24489795918367346
Claude Opus 4.5,Chinese,Neutrality/Balance,21,77,0.2727272727272727
Claude Opus 4.5,Chinese,Complexity/Uncertainty,1,77,0.012987012987012988
Claude Opus 4.5,Chinese,Harm Avoidance,18,77,0.23376623376623376
Claude Opus 4.5,Chinese,Expertise Limitation,3,77,0.03896103896103896
Claude Opus 4.5,Chinese,User Autonomy,1,77,0.012987012987012988
Claude Opus 4.5,Chinese,Other,33,77,0.42857142857142855
Claude Opus 4.5,Arabic,Neutrality/Balance,18,52,0.34615384615384615
Claude Opus 4.5,Arabic,Complexity/Uncertainty,1,52,0.019230769230769232
Claude Opus 4.5,Arabic,Harm Avoidance,14,52,0.2692307692307692
Claude Opus 4.5,Arabic,Expertise Limitation,3,52,0.057692307692307696
Claude Opus 4.5,Arabic,User Autonomy,1,52,0.019230769230769232
Claude Opus 4.5,Arabic,Other,15,52,0.28846153846153844
Claude Opus 4.5,Russian,Neutrality/Balance,19,58,0.3275862068965517
